Probabilities,Labels
tensor(0.9991),1
tensor(0.6174),1
tensor(1.),1
tensor(0.9998),1
tensor(0.6690),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(1.0000),1
tensor(1.0000),1
tensor(1.),1
tensor(0.9935),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(0.9896),1
tensor(1.),1
tensor(1.0000),1
tensor(0.0616),1
tensor(1.),1
tensor(1.0000),1
tensor(0.0047),1
tensor(1.0000),1
tensor(1.),1
tensor(1.0000),1
tensor(1.0000),1
tensor(1.),1
tensor(1.),1
tensor(0.0003),1
tensor(1.0000),1
tensor(0.9999),1
tensor(0.9992),1
tensor(1.1631e-06),1
tensor(0.9815),1
tensor(0.2951),1
tensor(0.9990),1
tensor(1.0000),1
tensor(1.),1
tensor(0.9983),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.0590),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9984),1
tensor(1.),1
tensor(1.),1
tensor(4.7766e-07),1
tensor(1.),1
tensor(0.1922),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(0.5537),1
tensor(1.0000),1
tensor(0.8016),1
tensor(0.9996),1
tensor(0.9974),1
tensor(1.0000),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(1.),1
tensor(0.9998),1
tensor(1.),1
tensor(1.0870e-06),1
tensor(0.9999),1
tensor(1.),1
tensor(1.),1
tensor(0.9053),1
tensor(0.9810),1
tensor(1.),1
tensor(0.9996),1
tensor(1.),1
tensor(0.9991),1
tensor(0.9909),1
tensor(0.9995),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.9093),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9927),1
tensor(1.),1
tensor(1.),1
tensor(0.9960),1
tensor(1.0000),1
tensor(1.0000),1
tensor(1.),1
tensor(0.9997),1
tensor(1.),1
tensor(0.9988),1
tensor(0.9999),1
tensor(1.0000),1
tensor(1.),1
tensor(0.8788),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9992),1
tensor(0.9945),1
tensor(1.),1
tensor(0.7824),1
tensor(1.),1
tensor(0.9999),1
tensor(1.),1
tensor(1.),1
tensor(0.9996),1
tensor(1.),1
tensor(0.9881),1
tensor(1.),1
tensor(0.0021),1
tensor(0.9999),1
tensor(0.9990),1
tensor(1.),1
tensor(0.5509),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.9983),1
tensor(0.9997),1
tensor(1.0000),1
tensor(1.),1
tensor(1.0000),1
tensor(1.0000),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.9934),1
tensor(1.),1
tensor(0.9511),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.0000),1
tensor(1.),1
tensor(0.9974),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9999),1
tensor(1.0000),1
tensor(0.9967),1
tensor(0.3870),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.7593),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9992),1
tensor(0.9970),1
tensor(0.9958),1
tensor(1.0000),1
tensor(0.8497),1
tensor(0.0028),1
tensor(1.0000),1
tensor(1.),1
tensor(7.6105e-05),1
tensor(0.0618),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(0.9794),1
tensor(1.),1
tensor(1.0000),1
tensor(4.0159e-05),1
tensor(1.),1
tensor(0.9691),1
tensor(0.9933),1
tensor(1.0000),1
tensor(1.),1
tensor(1.),1
tensor(0.9994),1
tensor(1.0000),1
tensor(1.),1
tensor(0.0009),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.),1
tensor(1.0000),1
tensor(0.9168),1
tensor(1.),1
tensor(1.0000),1
tensor(0.8549),1
tensor(0.0003),0
tensor(0.0001),0
tensor(2.4945e-05),0
tensor(1.3051e-06),0
tensor(0.9903),0
tensor(1.6889e-09),0
tensor(0.2663),0
tensor(0.1287),0
tensor(0.0001),0
tensor(0.0024),0
tensor(0.0009),0
tensor(0.6604),0
tensor(0.8836),0
tensor(0.1735),0
tensor(0.1319),0
tensor(1.6566e-08),0
tensor(0.0036),0
tensor(0.9999),0
tensor(8.0346e-05),0
tensor(1.3708e-05),0
tensor(0.0243),0
tensor(0.7478),0
tensor(0.0419),0
tensor(7.7201e-05),0
tensor(2.2999e-06),0
tensor(0.0347),0
tensor(2.4589e-09),0
tensor(5.9035e-08),0
tensor(0.0031),0
tensor(4.5242e-07),0
tensor(5.7025e-06),0
tensor(0.2711),0
tensor(0.0182),0
tensor(6.4327e-06),0
tensor(8.6805e-06),0
tensor(0.0005),0
tensor(0.0008),0
tensor(8.4832e-06),0
tensor(0.2193),0
tensor(7.6245e-05),0
tensor(8.2783e-05),0
tensor(0.0007),0
tensor(0.0108),0
tensor(0.9489),0
tensor(0.0002),0
tensor(0.0531),0
tensor(0.0020),0
tensor(0.0019),0
